,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost,Year
459,Jason Moore,LAC,WR,26,2,1,4,3,0,0,0,0,0,0,56,0,6,0,0,0,2021
460,Brandon Powell,LAR,,26,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2021
461,Amari Rodgers,GNB,WR,22,16,1,8,4,0,0,0,11,0,1,45,0,6,0,2,0,2021
462,Ito Smith,DAL,RB,26,1,0,0,0,0,0,0,4,1,1,0,0,6,0,0,0,2021
463,Trayveon Williams,CIN,RB,24,5,0,2,1,0,0,0,51,0,15,4,0,6,0,0,0,2021
464,Jaelon Darden,TAM,WR,22,9,0,12,6,0,0,0,11,0,1,43,0,5,0,0,0,2021
465,Will Fuller,MIA,WR,27,2,0,8,4,0,0,0,0,0,0,26,0,5,0,0,0,2021
466,Jason Huntley,PHI,RB,23,1,0,1,0,0,0,0,51,0,13,0,0,5,0,0,0,2021
467,Tre' McKitty,LAC,TE,22,11,4,8,6,0,0,0,0,0,0,45,0,5,0,0,0,2021
468,Wendell Smallwood,WAS,RB,27,3,0,5,4,0,0,0,25,0,5,22,0,5,0,0,0,2021
469,Rodney Smith,CAR,RB,25,2,0,5,5,0,0,0,0,0,0,48,0,5,0,0,0,2021
470,Mike Thomas,CIN,WR,27,12,1,11,5,0,0,0,0,0,0,52,0,5,0,0,0,2021
471,Charlie Woerner,SFO,TE,24,17,3,6,5,0,0,0,0,0,0,52,0,5,0,0,0,2021
472,JJ Arcega-Whiteside,PHI,WR,25,16,2,5,2,0,0,0,0,0,0,36,0,4,0,0,0,2021
473,Kalen Ballage,PIT,RB,26,17,0,7,2,0,0,0,36,0,12,8,0,4,0,0,0,2021
474,Kendall Blanton,LAR,TE,26,11,2,7,4,0,0,0,0,0,0,37,0,4,0,1,0,2021
475,Pharoh Cooper,NYG,WR,26,8,0,11,4,0,0,0,3,0,1,33,0,4,0,0,0,2021
476,Tyler Davis,GNB,TE,24,14,0,5,4,0,0,0,0,0,0,35,0,4,0,0,0,2021
477,Greg Dortch,ARI,WR,23,5,2,3,3,0,0,0,24,0,1,15,0,4,0,0,0,2021
478,Darren Fells,2TM,TE,35,9,5,5,4,0,0,0,0,0,0,43,0,4,0,0,0,2021
479,Garrett Griffin,NOR,TE,27,13,6,4,4,0,0,0,0,0,0,39,0,4,0,1,0,2021
480,Parker Hesse,ATL,TE,26,8,1,6,5,0,0,0,0,0,0,43,0,4,0,0,0,2021
481,Jakob Johnson,NWE,RB,27,17,6,5,4,0,0,0,0,0,0,43,0,4,0,0,0,2021
482,D.J. Montgomery,NYJ,WR,25,3,0,6,3,0,0,0,0,0,0,36,0,4,0,0,0,2021
483,Gunner Olszewski,NWE,WR,25,16,0,3,2,0,0,0,9,0,1,31,0,4,0,3,0,2021
484,Curtis Samuel,WAS,WR,25,5,1,9,6,0,0,0,11,0,4,27,0,4,0,0,0,2021
485,Willie Snead,2TM,WR,29,9,0,8,4,0,0,0,0,0,0,38,0,4,0,0,0,2021
486,Trent Taylor,CIN,WR,27,4,0,3,2,0,0,0,0,0,0,41,0,4,0,0,0,2021
487,Trevon Wesco,NYJ,TE,26,12,7,5,3,0,0,0,0,0,0,35,0,4,0,0,0,2021
488,Kevin White,NOR,WR,29,6,1,5,1,0,0,0,0,0,0,38,0,4,0,0,0,2021
489,Juwann Winfree,GNB,WR,25,7,0,13,8,0,0,0,0,0,0,58,0,4,0,2,1,2021
490,Kenny Yeboah,NYJ,TE,23,9,0,3,2,0,0,0,0,0,0,36,0,4,0,0,0,2021
491,Christian Blake,ATL,WR,25,16,0,9,4,0,0,0,0,0,0,25,0,3,0,0,0,2021
492,Daniel Brown,NYJ,WR,29,12,0,2,2,0,0,0,0,0,0,29,0,3,0,0,0,2021
493,Dominique Dafney,GNB,TE,24,10,2,4,2,0,0,0,0,0,0,34,0,3,0,0,0,2021
494,Reggie Gilliam,BUF,RB,24,16,5,5,3,0,0,0,3,0,3,23,0,3,0,0,0,2021
495,Chad Henne,KAN,QB,36,4,0,0,0,82,0,16,0,0,8,0,0,3,0,2,0,2021
496,K.J. Hill,LAC,WR,24,6,0,3,3,0,0,0,0,0,0,30,0,3,0,0,0,2021
497,Kylin Hill,GNB,RB,23,8,0,2,1,0,0,0,24,0,10,5,0,3,0,0,0,2021
498,Cody Hollister,TEN,WR,28,3,1,7,4,0,0,0,0,0,0,33,0,3,0,0,0,2021
499,Tommy Hudson,TEN,TE,24,5,0,6,3,0,0,0,0,0,0,31,0,3,0,0,0,2021
500,Trenton Irwin,CIN,WR,26,7,0,5,2,0,0,0,0,0,0,34,0,3,0,0,0,2021
501,Jake Kumerow,BUF,WR,29,15,2,6,2,0,0,0,0,0,0,28,0,3,0,0,0,2021
502,Gabe Nabers,LAC,RB,24,10,1,3,3,0,0,0,8,0,3,17,0,3,0,0,0,2021
503,Colby Parkinson,SEA,TE,22,14,1,8,5,0,0,0,0,0,0,33,0,3,0,0,0,2021
504,La'Mical Perine,NYJ,RB,23,4,0,0,0,0,0,0,31,0,8,0,0,3,0,0,0,2021
505,Kaden Smith,NYG,TE,24,9,4,3,3,0,0,0,0,0,0,33,0,3,0,0,0,2021
506,Jeremy Sprinkle,DAL,TE,27,17,4,3,3,0,0,0,0,0,0,31,0,3,0,0,0,2021
507,Mike Strachan,IND,WR,24,6,0,3,2,0,0,0,0,0,0,26,0,3,0,0,0,2021
508,Dwayne Washington,NOR,RB,27,14,0,2,2,0,0,0,16,0,4,12,0,3,0,0,0,2021
509,Cody White,PIT,WR,23,15,0,6,5,0,0,0,0,0,0,33,0,3,0,0,0,2021
510,Seth Williams,DEN,WR,21,2,1,1,1,0,0,0,0,0,0,34,0,3,0,0,0,2021
511,Shane Zylstra,DET,TE,25,4,0,7,3,0,0,0,0,0,0,34,0,3,0,0,0,2021
512,Nick Bawden,NYJ,RB,25,9,1,1,1,0,0,0,0,0,0,20,0,2,0,0,0,2021
513,C.J. Beathard,JAX,QB,28,2,0,0,0,33,0,2,2,0,1,0,0,2,0,0,0,2021
514,Reggie Bonnafon,CAR,RB,25,4,0,2,2,0,0,0,4,0,1,12,0,2,0,0,0,2021
515,Ian Book,NOR,QB,23,1,1,0,0,135,0,20,6,0,3,0,0,2,2,0,0,2021
516,Cethan Carter,MIA,TE,26,16,1,2,2,0,0,0,0,0,0,16,0,2,0,0,0,2021
517,Davion Davis,HOU,WR,25,2,1,3,1,0,0,0,0,0,0,17,0,2,0,0,0,2021
518,Darrynton Evans,TEN,RB,23,1,0,2,2,0,0,0,7,0,2,11,0,2,0,0,0,2021
519,Blaine Gabbert,TAM,QB,32,6,0,0,0,67,0,11,-7,0,9,0,0,2,0,0,0,2021
520,Tyron Johnson,2TM,WR,25,10,0,5,2,0,0,0,0,0,0,16,0,2,0,0,0,2021
521,Marcus Kemp,KAN,WR,26,16,0,5,2,0,0,0,0,0,0,24,0,2,0,0,0,2021
522,Keith Kirkwood,CAR,WR,27,3,0,7,3,0,0,0,0,0,0,17,0,2,0,0,0,2021
523,Patrick Laird,MIA,RB,26,6,0,3,3,0,0,0,4,0,1,17,0,2,0,0,0,2021
524,Raheem Mostert,SFO,RB,29,1,1,0,0,0,0,0,20,0,2,0,0,2,0,0,0,2021
525,Dazz Newsome,CHI,WR,22,3,1,5,2,0,0,0,0,0,0,23,0,2,0,0,0,2021
526,Scottie Phillips,HOU,RB,24,3,0,3,2,0,0,0,13,0,6,9,0,2,0,0,0,2021
527,Adam Prentice,NOR,RB,24,7,3,3,3,0,0,0,5,0,3,16,0,2,0,0,0,2021
528,Trey Ragas,LVR,RB,25,1,0,2,2,0,0,0,9,0,1,6,0,2,0,0,0,2021
529,Jaylen Samuels,HOU,RB,25,3,0,4,3,0,0,0,9,0,5,14,0,2,0,0,0,2021
530,David Sills,NYG,WR,25,4,1,6,2,0,0,0,0,0,0,17,0,2,0,0,0,2021
531,Jack Stoll,PHI,TE,23,16,5,5,4,0,0,0,0,0,0,22,0,2,0,0,0,2021
532,Chris Streveler,ARI,QB,26,2,0,0,0,36,0,9,6,0,3,0,0,2,0,1,0,2021
533,Tylan Wallace,BAL,WR,22,17,1,6,2,0,0,0,0,0,0,23,0,2,0,0,0,2021
534,Derek Watt,PIT,RB,29,17,4,3,3,0,0,0,1,0,1,15,0,2,0,0,0,2021
535,Mitchell Wilcox,CIN,TE,25,15,1,5,3,0,0,0,0,0,0,16,0,2,0,0,0,2021
536,Cam Akers,LAR,RB,22,1,0,3,3,0,0,0,3,0,5,10,0,1,0,0,0,2021
537,Tarik Black,NYJ,WR,23,1,0,2,1,0,0,0,0,0,0,10,0,1,0,0,0,2021
538,David Blough,DET,QB,26,1,0,0,0,0,0,0,6,0,1,0,0,1,0,1,0,2021
539,Miles Boykin,BAL,WR,25,8,0,1,1,0,0,0,0,0,0,6,0,1,0,0,0,2021
540,Gary Brightwell,NYG,RB,22,13,0,1,1,0,0,0,4,0,1,6,0,1,0,0,0,2021
541,Derek Carrier,LVR,TE,31,5,1,2,2,0,0,0,0,0,0,13,0,1,0,0,0,2021
542,Keke Coutee,IND,WR,24,2,0,1,1,0,0,0,0,0,0,5,0,1,0,0,0,2021
543,Damarea Crockett,DEN,RB,24,12,0,0,0,0,0,0,7,0,3,0,0,1,0,0,0,2021
544,Frank Darby,ATL,WR,24,10,0,4,1,0,0,0,0,0,0,14,0,1,0,0,0,2021
545,Sam Ehlinger,IND,QB,23,3,0,0,0,0,0,0,9,0,3,0,0,1,0,0,0,2021
546,Ryan Fitzpatrick,WAS,QB,39,1,1,0,0,13,0,6,2,0,1,0,0,1,0,1,0,2021
547,Jake Funk,LAR,RB,23,10,0,0,0,0,0,0,5,0,2,0,0,1,0,0,0,2021
