Rank,Player,Team,Bye,POS,Yahoo,Fantrax,FFC,Sleeper,AVG
236,Curtis Samuel,WAS,14,WR80,,186,,226,206
237,Hassan Haskins,TEN,6,RB68,,194,,224,209
238,Donovan Peoples-Jones,CLE,9,WR81,,203,,217,210
239,Cleveland Browns,DST,9,DST17,222,284,212,271,247.3
240,Tennessee Titans,DST,6,DST18,217,213,,276,235.3
241,Jerick McKinnon,KC,8,RB69,,340,182,245,255.7
242,Parris Campbell,IND,14,WR82,,329,215,215,253
243,Greg Zuerlein,NYJ,10,K19,149,354,,,251.5
244,Daniel Jones,NYG,9,QB29,215,286,,219,240
245,Mike Davis,BAL,10,RB70,,242,195,,218.5
246,Philadelphia Eagles,DST,7,DST19,227,347,219,273,266.5
247,A.J. Green,ARI,13,WR83,,302,205,236,247.7
248,Nico Collins,HOU,6,WR84,,276,237,211,241.3
249,Taysom Hill,NO,14,QB30,,212,,232,222
250,Jason Sanders,MIA,11,K20,213,290,231,,244.7
251,William Fuller V,,,WR85,,211,,235,223
252,Minnesota Vikings,DST,7,DST20,229,220,,,224.5
253,Samaje Perine,CIN,10,RB71,,243,229,264,245.3
254,Boston Scott,PHI,7,RB72,,254,209,,231.5
255,Matt Breida,NYG,9,RB73,,268,227,251,248.7
256,Devin Duvernay,BAL,10,WR86,,225,,240,232.5
257,KJ Hamler,DEN,9,WR87,,252,,214,233
258,Brevin Jordan,HOU,6,TE28,,232,,234,233
259,Jeff Wilson Jr.,SF,9,RB74,,221,,246,233.5
260,Myles Gaskin,MIA,11,RB75,,201,,267,234
261,Keaontay Ingram,ARI,13,RB76,,244,,228,236
262,Washington Commanders,DST,14,DST21,200,353,,275,276
263,Atlanta Falcons,DST,14,DST22,,197,,,197
264,Damien Williams,ATL,14,RB77,,307,197,,252
265,Detroit Lions,DST,6,DST23,,198,,,198
266,New York Giants,DST,9,DST24,,208,,,208
267,Cincinnati Bengals,DST,10,DST25,228,264,,,246
268,Tyler Badie,BAL,10,RB78,,248,,248,248
269,David Bell,CLE,9,WR88,,277,,220,248.5
270,Laviska Shenault Jr.,JAC,11,WR89,,234,,263,248.5
271,C.J. Uzomah,NYJ,10,TE29,,229,,269,249
272,Jake Elliott,PHI,7,K21,219,374,,,296.5
273,Trey McBride,ARI,13,TE30,,265,,238,251.5
274,Joey Slye,WAS,14,K22,,224,,,224
275,Graham Gano,NYG,9,K23,,389,224,,306.5
276,Jonathan Garibay,,,K24,,226,,,226
277,Kendrick Bourne,NE,10,WR90,,279,,229,254
278,Terrace Marshall Jr.,CAR,13,WR91,,253,,255,254
279,New York Jets,DST,10,DST26,,227,,,227
280,Carolina Panthers,DST,13,DST27,,230,,,230
281,Lirim Hajrullahu,DAL,9,K25,,,233,,233
282,Jimmy Garoppolo,SF,9,QB31,,235,,,235
283,Dontrell Hilliard,TEN,6,RB79,,258,,260,259
284,Seattle Seahawks,DST,11,DST28,,238,,,238
285,Rex Burkhead,HOU,6,RB80,,360,239,,299.5
286,Cedrick Wilson Jr.,MIA,11,WR92,,240,,,240
287,Chris Evans,CIN,10,RB81,,308,,244,276
288,Mason Crosby,GB,14,K26,,361,244,,302.5
289,Marquez Callaway,NO,14,WR93,,246,,,246
290,Eno Benjamin,ARI,13,RB82,,314,,247,280.5
291,Phillip Lindsay,IND,14,RB83,,249,,,249
292,Kenny Pickett,PIT,9,QB32,,272,,259,265.5
293,Justyn Ross,KC,8,WR94,,261,,270,265.5
294,Abram Smith,NO,14,RB84,,250,,,250
295,Tyquan Thornton,NE,10,WR95,,295,,250,272.5
296,Ke'Shawn Vaughn,TB,11,RB85,,251,,,251
