,Player,Targets,RushingTDs,ReceivingTDs,Receptions,RushingAtt,RushingYds,ReceivingYds,FantasyPoints,ADP,Games,Usage,Touchdowns,TotYdsScrm,Production,PassingYds,PassingTD,PassingAtt,RushingTD,AVG,G
63,Corey Davis,59.0,0.0,4.0,34.0,0.0,0.0,492.0,71.0,189.0,9.0,10.333333333333334,4.0,492.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Nick Westbrook-Ikhine,57.0,0.0,4.0,38.0,0.0,0.0,476.0,70.0,317.5,16.0,5.9375,4.0,476.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Nelson Agholor,64.0,0.0,3.0,37.0,3.0,11.0,473.0,66.0,341.0,15.0,6.733333333333333,3.0,484.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Randall Cobb,39.0,0.0,5.0,28.0,1.0,1.0,375.0,66.0,294.0,12.0,5.583333333333333,5.0,376.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Jalen Guyton,48.0,0.0,3.0,31.0,7.0,34.0,448.0,66.0,257.0,16.0,4.9375,3.0,482.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,DeVante Parker,73.0,0.0,2.0,40.0,0.0,0.0,515.0,64.0,151.5,10.0,11.3,2.0,515.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Laviska Shenault Jr.,100.0,0.0,0.0,63.0,11.0,41.0,619.0,64.0,248.5,16.0,10.1875,0.0,660.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,DeAndre Carter,44.0,0.0,3.0,24.0,10.0,89.0,296.0,63.0,0.0,17.0,4.0,3.0,385.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Freddie Swain,40.0,0.0,4.0,25.0,5.0,32.0,343.0,62.0,0.0,17.0,3.823529411764706,4.0,375.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Henry Ruggs III,36.0,0.0,2.0,24.0,3.0,16.0,469.0,61.0,0.0,7.0,8.571428571428571,2.0,485.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Marquez Valdes-Scantling,55.0,0.0,3.0,26.0,0.0,0.0,430.0,61.0,141.8,11.0,7.363636363636363,3.0,430.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Josh Palmer,49.0,0.0,4.0,33.0,1.0,6.0,353.0,60.0,0.0,17.0,4.823529411764706,4.0,359.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Jamison Crowder,71.0,0.0,2.0,51.0,0.0,0.0,447.0,59.0,209.7,12.0,10.166666666666666,2.0,447.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Zay Jones,70.0,0.0,1.0,47.0,2.0,3.0,546.0,59.0,305.0,17.0,6.882352941176471,1.0,549.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Olamide Zaccheaus,53.0,0.0,3.0,31.0,1.0,2.0,406.0,59.0,313.0,17.0,4.9411764705882355,3.0,408.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Rashod Bateman,68.0,0.0,1.0,46.0,0.0,0.0,515.0,58.0,86.5,12.0,9.5,1.0,515.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
